#,Time(ms),CH1(mV),CH2(mV)
0,0.0004000,40.00,0.00
1,0.0003600,40.00,-20.00
2,0.0003200,60.00,0.00
3,0.0002800,40.00,-20.00
4,0.0002400,40.00,0.00
5,0.0002000,40.00,-20.00
6,0.0001600,60.00,0.00
7,0.0001200,40.00,-20.00
8,0.0000800,80.00,0.00
9,0.0000400,60.00,-20.00
10,0.0000000,100.00,0.00
11,-0.0000400,100.00,-20.00
12,-0.0000800,160.00,0.00
13,-0.0001200,180.00,-20.00
14,-0.0001600,260.00,0.00
15,-0.0002000,240.00,-20.00
16,-0.0002400,400.00,0.00
17,-0.0002800,420.00,-20.00
18,-0.0003200,500.00,0.00
19,-0.0003600,520.00,-20.00
20,-0.0004000,600.00,0.00
21,-0.0004400,620.00,-20.00
22,-0.0004800,680.00,0.00
23,-0.0005200,680.00,-20.00
24,-0.0005600,680.00,0.00
25,-0.0006000,680.00,-20.00
26,-0.0006400,720.00,0.00
27,-0.0006800,680.00,-20.00
28,-0.0007200,700.00,0.00
29,-0.0007600,660.00,-20.00
30,-0.0008000,680.00,0.00
31,-0.0008400,660.00,-20.00
32,-0.0008800,680.00,0.00
33,-0.0009200,640.00,-20.00
34,-0.0009600,660.00,0.00
35,-0.0010000,640.00,-20.00
36,-0.0010400,660.00,0.00
37,-0.0010800,620.00,-20.00
38,-0.0011200,640.00,0.00
39,-0.0011600,620.00,-20.00
40,-0.0012000,640.00,0.00
41,-0.0012400,620.00,-20.00
42,-0.0012800,640.00,0.00
43,-0.0013200,600.00,-20.00
44,-0.0013600,640.00,0.00
45,-0.0014000,600.00,-20.00
46,-0.0014400,640.00,0.00
47,-0.0014800,600.00,-20.00
48,-0.0015200,620.00,0.00
49,-0.0015600,600.00,-20.00
50,-0.0016000,640.00,0.00
51,-0.0016400,600.00,-20.00
52,-0.0016800,600.00,0.00
53,-0.0017200,600.00,-20.00
54,-0.0017600,600.00,0.00
55,-0.0018000,580.00,-20.00
56,-0.0018400,600.00,0.00
57,-0.0018800,600.00,-20.00
58,-0.0019200,600.00,0.00
59,-0.0019600,600.00,-20.00
60,-0.0020000,600.00,0.00
61,-0.0020400,600.00,-20.00
62,-0.0020800,620.00,0.00
63,-0.0021200,600.00,-20.00
64,-0.0021600,640.00,0.00
65,-0.0022000,600.00,-20.00
66,-0.0022400,620.00,0.00
67,-0.0022800,600.00,-20.00
68,-0.0023200,620.00,0.00
69,-0.0023600,600.00,-20.00
70,-0.0024000,640.00,0.00
71,-0.0024400,600.00,-20.00
72,-0.0024800,620.00,0.00
73,-0.0025200,600.00,-20.00
74,-0.0025600,620.00,0.00
75,-0.0026000,600.00,-20.00
76,-0.0026400,640.00,0.00
77,-0.0026800,600.00,-20.00
78,-0.0027200,640.00,0.00
79,-0.0027600,620.00,-20.00
80,-0.0028000,660.00,0.00
81,-0.0028400,640.00,-20.00
82,-0.0028800,640.00,0.00
83,-0.0029200,620.00,-20.00
84,-0.0029600,660.00,0.00
85,-0.0030000,620.00,-20.00
86,-0.0030400,640.00,0.00
87,-0.0030800,600.00,-20.00
88,-0.0031200,640.00,0.00
89,-0.0031600,600.00,-20.00
90,-0.0032000,640.00,0.00
91,-0.0032400,620.00,-20.00
92,-0.0032800,640.00,-20.00
93,-0.0033200,620.00,-20.00
94,-0.0033600,640.00,0.00
95,-0.0034000,640.00,-20.00
96,-0.0034400,660.00,0.00
97,-0.0034800,620.00,-20.00
98,-0.0035200,640.00,0.00
99,-0.0035600,640.00,-20.00
100,-0.0036000,640.00,0.00
101,-0.0036400,620.00,-20.00
102,-0.0036800,640.00,0.00
103,-0.0037200,600.00,-20.00
104,-0.0037600,640.00,0.00
105,-0.0038000,600.00,-20.00
106,-0.0038400,640.00,0.00
107,-0.0038800,620.00,-20.00
108,-0.0039200,640.00,0.00
109,-0.0039600,620.00,-20.00
110,-0.0040000,640.00,0.00
111,-0.0040400,620.00,-20.00
112,-0.0040800,640.00,0.00
113,-0.0041200,620.00,-20.00
114,-0.0041600,660.00,0.00
115,-0.0042000,620.00,-20.00
116,-0.0042400,660.00,0.00
117,-0.0042800,640.00,-20.00
118,-0.0043200,640.00,0.00
119,-0.0043600,620.00,-20.00
120,-0.0044000,640.00,0.00
121,-0.0044400,620.00,-20.00
122,-0.0044800,640.00,0.00
123,-0.0045200,600.00,-20.00
124,-0.0045600,640.00,0.00
125,-0.0046000,620.00,-20.00
126,-0.0046400,640.00,0.00
127,-0.0046800,620.00,-20.00
128,-0.0047200,640.00,0.00
129,-0.0047600,640.00,-20.00
130,-0.0048000,640.00,0.00
131,-0.0048400,640.00,-20.00
132,-0.0048800,660.00,0.00
